Year,Month,Trips
2015,Jan,511
2015,Feb,267
2015,Mar,801
2015,Apr,3162
2015,May,7426
2015,Jun,5336
2015,Jul,7519
2015,Aug,8204
2015,Sept,7792
2015,Oct,6815
2015,Nov,4954
2015,Dec,4304
2016,Jan,1870
2016,Feb,1916
2016,Mar,4842
2016,Apr,5950
2016,May,7434
2016,Jun,8110
2016,Jul,8473
2016,Aug,9443
2016,Sept,10512
2016,Oct,9234
2016,Nov,4449
2016,Dec,3122
2017,Jan,2948
2017,Feb,3287
2017,Mar,2978
2017,Apr,9194
2017,May,8255
2017,Jun,8403
2017,Jul,9513
2017,Aug,9318
2017,Sept,9274
2017,Oct,8612
2017,Nov,4014
2017,Dec,2938
2018,Jan,2386
2018,Feb,2800
2018,Mar,3753
2018,Apr,6538
2018,May,9634
2018,Jun,10626
2018,Jul,9495
2018,Aug,9154
2018,Sept,9166
2018,Oct,8087
2018,Nov,3627
2018,Dec,3791
2019,Jan,2917
2019,Feb,2661
2019,Mar,4031
2019,Apr,7083
2019,May,8182
2019,Jun,9390
2019,Jul,8720
2019,Aug,9593
2019,Sept,9790
2019,Oct,7178
2019,Nov,3435
2019,Dec,2607
2020,Jan,3421
2020,Feb,2983
2020,Mar,3694
2020,Apr,2847
2020,May,7702
2020,Jun,8188
2020,Jul,7878
2020,Aug,7938
2020,Sept,8529
2020,Oct,8471
2020,Nov,5494
2020,Dec,2928
